rank,username,score,gold,rares,epics,legendaries,userid
63,qwertyyyyy1234,1864221.0,1018700.0,158,62,10,5303912830
64,LFGInp,1824091.72,615208.0,411,134,25,6705852481
65,mirooleynik,1784597.556,801706.0,224,72,19,1679471128
66,7429397163,1737825.8499999999,891650.0,193,71,11,7429397163
67,7261088248,1711651.68,681390.0,264,93,23,7261088248
68,azistek,1649601.7199999997,685620.0,248,98,19,5811242274
69,ZeroDecibel,1647674.685,603765.0,337,127,21,6029274073
70,pookerslootadmin,1625884.8,790800.0,174,77,14,5049391348
71,Ivan_ves,1625312.0,416000.0,555,202,38,8244793545
72,kBcjsL,1612275.0000000002,555000.0,399,151,20,7048517008
73,JohnFlyd,1586439.868,788489.0,184,73,13,5055947849
74,Paphchenkoff,1570238.9999999998,559800.0,323,122,25,5593289121
75,bel33333,1567437.48,552888.0,407,138,20,7151280972
76,jeccaa2020,1543366.0,341000.0,592,269,44,7884943790
77,JosephMIUd,1539726.7750000001,742037.0,229,66,15,5088699664
78,Yaruk1110,1503428.34,454620.0,429,148,33,6901985857
79,elm111111,1483350.5520000001,430956.0,360,157,38,6575879282
80,William43819532,1481534.016,752812.0,164,74,12,5028926810
81,MayYoun54,1418633.251,706139.0,223,76,11,5076611357
82,CalvinR4c,1404255.63,760290.0,169,73,8,5052140593
83,camPPunk,1398399.6,632760.0,226,64,20,213747533
84,northeners1923,1391056.74,422172.0,411,139,35,6786966329
85,Cyc1111,1387208.736,430944.0,371,153,31,7163459394
86,GreedSns,1381771.55,966950.0,81,28,6,1648649636
87,OoxQXO,1373424.0,426000.0,406,148,31,7457404230
88,Cockroach_1970,1358514.0,426000.0,413,141,31,7305913646
89,khiroshin,1351558.0,454000.0,393,124,28,5232525961
90,Artur_Bender5332,1321830.0,342000.0,555,185,40,1726313563
91,Lilia486,1320800.0,508000.0,334,111,20,2100702153
92,cowetsi,1317250.368,429912.0,378,151,26,6787021158
93,BaldwinGilmore1,1315103.482,678238.0,171,73,11,5010411783
94,gszOtw,1303560.0,426000.0,410,150,25,7399727117
95,DwainCopeland,1292834.088,681156.0,184,59,12,5024095791
96,mentiou,1280215.338,207726.0,987,311,77,6149077801
97,pha1111111,1277353.5840000003,430956.0,398,131,26,7055804647
98,ElinorH6ds,1265411.556,620604.0,175,64,16,5017928237
99,BarbaraBets,1261686.0,574800.0,217,88,15,5059480863
100,GuernseyQuerimans,1253428.9819999998,390598.0,439,140,31,6999195960
101,whathishit9,1249668.0,324000.0,535,197,38,6867024203
102,IronworkDoodad,1242402.17,630661.0,178,57,15,2115062113
103,isit_9,1234440.0,324000.0,542,178,40,7715663907
104,MaryMiid,1216276.8,574800.0,186,60,19,5032347572
105,Tema15ameT,1203708.0,726000.0,136,52,7,7500783372
106,bartyslimes,1195009.2,574800.0,179,70,16,1991316232
107,Stevdddsac,1168374.312,573576.0,209,73,13,5020157460
108,ATestowin,1166863.6919999998,548596.0,179,68,18,5097821498
109,Valenti7823,1161670.8,574800.0,235,61,14,5001484329
110,7249536466,1160369.64,739560.0,113,46,6,7249536466
111,B0SSS27,1154361.259,456089.0,319,107,19,5345553953
112,7588382538,1153120.68,589530.0,200,56,14,7588382538
113,Lastri999,1142828.8800000001,560760.0,174,59,17,6650502033
114,6607187866,1130760.0,324000.0,564,171,30,6607187866
115,Kkjjipuook,1129247.0,457000.0,289,102,19,7368872480
116,Romanich_Ruff,1127571.06,551110.0,236,65,14,5078873899
117,Rain Turtle,1125795.888,570312.0,206,73,11,line:U8e9942b252264dc71566c55b7eeffadd
118,CZuocI,1110595.7159999998,516316.0,197,64,19,2106110535
119,SvenP9,1098005.25,398550.0,279,121,25,5239125624
120,ludzakura,1092353.29,501770.0,223,69,18,510639825
