username,score,purple,legendaries,userId
Liudlych,98802.00,29940,23,1196232556
cryptodze,98800.00,26000,28,1320384195
tironianaccurate,98800.00,19000,42,6549009725
1567955519,98700.00,21000,37,1567955519
Motorola_V8,98700.00,21000,37,7402461631
DL6453,98600.00,29000,24,291266700
WaIdemar,98600.00,29000,24,5715787244
woPeHy,98600.00,17000,48,7195679889
Sergbarey,98400.00,41000,14,1329819814
thyronlevi,98396.00,28940,24,7415210768
buzzzklen,98000.00,28000,25,7014044236
ViktOtro,97734.00,25060,29,1010596987
weldddu,97600.00,16000,51,7963694106
Batushka1488,97200.00,27000,26,6436979175
7556756013,96900.00,17000,47,7556756013
radele4ka,96800.00,44000,12,244188668
Irithel277,96800.00,22000,34,8122831274
7249536466,96600.00,21000,36,7249536466
7508150068,96502.00,15820,51,7508150068
Cruche_stimulancy,96282.00,17830,44,7504183236
Giniphg,96200.00,37000,16,7219031801
VitaliyHaze,96200.00,26000,27,589017617
Loment2043,96033.00,18830,41,7508752384
Emibubble,96000.00,32000,20,6147880868
woodtick,96000.00,24000,30,507629714
ruanwi,96000.00,20000,38,8464949009
royalflash0,95867.00,25910,27,430059810
ludzakura,95700.00,33000,19,510639825
6052880764,95700.00,29000,23,6052880764
Aleksei_544,95700.00,29000,23,838644952
7150130357,95400.00,18000,43,7150130357
521070581,95200.00,34000,18,521070581
RAIZRN,95200.00,28000,24,6163560855
Carolls23,95200.00,17000,46,8309932932
Perfyx,95164.00,25720,27,6138648437
wakerife_Elsey,95135.00,17950,43,7480814418
Lepitskiy,95121.00,24390,29,404712626
6932841831,95120.00,23780,30,6932841831
Sans2707,95000.00,25000,28,1025748985
ripa_reflating,94870.00,17900,43,7349763284
7709888313,94400.00,16000,49,7709888313
JBFromPh,94000.00,20000,37,6461859443
Hika5242,94000.00,20000,37,6486294713
GGezzzzzzz,93600.00,26000,26,6473980982
7870022392,93500.00,17000,45,7870022392
Prots33,93366.00,23940,29,1157597630
npatino,93000.00,31000,20,5825577973
TimTLT,93000.00,30000,21,1187896467
MegaboxBS,92800.00,29000,22,164190065
camPPunk,92783.00,22630,31,213747533
olchlx,92500.00,37000,15,6288891452
Krassovochek,92500.00,25000,27,126786472
RogozinE,92500.00,25000,27,7454912292
Dsverba,92400.00,22000,32,994336086
kupuIoQ,92000.00,23000,30,7650264251
5898580536,91800.00,27000,24,5898580536
7503633941,91800.00,27000,24,7503633941
lWKhqp,91545.00,17950,41,7490572514
7615506719,91200.00,16000,47,7615506719
VL5VL5,91000.00,35000,16,171473955
Columbinbs,91000.00,26000,25,7935702405
my_blurryface,90965.00,25990,25,442783031
7836698142,90100.00,17000,43,7836698142
